sku,field,ua_or_diff,ru_or_bad,url
624348659,meta_keys,"индукционка, індукційна, плита, goodfood, ic30, good, food, ic, 30, индуционная, настольная, промышленная, профессиональная, печка, goodfood ic30 double, ic30 double, плита индукционная двухконфорочна",індукційна,https://labresta.com.ua/plyta-induktsiina-goodfood-ic30-double/
885013014,mod_name,Плита електрична Bartscher 105325 (380В) настільна,настільна,https://labresta.com.ua/plyta-elektrychna-bartscher-105325-380v-nastilna/
885013014,meta_keys,"плита настольная, плита промышленная, плита профессиональная, плита, профессиональная, конфорка, Bartscher 105325, Bartscher, 105325, однопостовая, одноконфорочная, 380, в, промышленная, професійна, п",професійна,https://labresta.com.ua/plyta-elektrychna-bartscher-105325-380v-nastilna/
885013014,descr_full,"Плита електрична настільна одноконфоркова професійна. Технічні характеристики: Температура: до +350 °C Конфорка: Ø 400 мм. Вага: 34,2 кг. Напруга: 380 В Потужність: 5,0 кВт Габарити 370х590х515 мм","настільна, професійна, Технічні, Потужність",https://labresta.com.ua/plyta-elektrychna-bartscher-105325-380v-nastilna/
1899649944,meta_keys,"плита газовая, плита на газу, плита на газе, плита газовая пимак, пімак, плита пімак, газова пліта, газова плита, плита настольная, газ плита настольная, газовый контроллер, напольная, SILVER плита, S","пімак, пімак, пліта",https://labresta.com.ua/plyta-hazova-silver-2907-2903-lpg/
2061563091,mod_name,Плита Apach APRES-77T електрична 4-конфорочна настільна (з підставкою),"настільна, підставкою",https://labresta.com.ua/plyta-apach-apres-77t/
2061563091,descr_full,"Електрична плита із суцільною поверхнею, настільна. Водонепроникна стільниця 1,5 мм, виготовлена з нержавіючої сталі. Конфорки, що швидко нагрівають із запобіжним пристроєм запобігання перегріву. Техн","із, суцільною, настільна, стільниця, нержавіючої, сталі, нагрівають, із, запобіжним, пристроєм",https://labresta.com.ua/plyta-apach-apres-77t/
2065657026,mod_name,Плита Apach APRE-77T електрична 4-конфорочна настільна (з підставкою),"настільна, підставкою",https://labresta.com.ua/plyta-apach-apre-77t/
2065657026,descr_full,"Плита електрична 4-х конфоркова настільна. Водонепроникна стільниця 1,5 мм, виготовлена з нержавіючої сталі. Конфорки, що швидко нагрівають із запобіжним пристроєм запобігання перегріву. Технічні хара","настільна, стільниця, нержавіючої, сталі, нагрівають, із, запобіжним, пристроєм, запобігання, перегріву",https://labresta.com.ua/plyta-apach-apre-77t/
2463604901,mod_name,Плита індукційна Bartscher 105765,індукційна,https://labresta.com.ua/plyta-induktsiina-bartscher-105765/
2463604901,descr_full,"Індукційні плити ідеально підходять для кухні обмеженої площі. Технічні характеристики: На закритій базі. 4 конфорки діаметром 260 мм зі скла. Розподіл конфорок: 2 x 5 кВт, 2 x 3,5 кВт. Корпус із нерж","Індукційні, ідеально, підходять, кухні, обмеженої, площі, Технічні, закритій, базі, діаметром",https://labresta.com.ua/plyta-induktsiina-bartscher-105765/
