sku,field,ua_or_diff,ru_or_bad,url
1495708042,descr_full,"Плита індукційна AIRHOT IP3500 T призначена для професійного використання. Тепло передається безпосередньо до дна посуду, не нагріваючи конфорку, завдяки чому плита витрачає менше енергії. Електронний",температурных,https://labresta.com.ua/plyta-induktsiina-airhot-ip3500-t/
1316945344,meta_keys,"индукционка, індукційна плита, airhot ip 3500, airhot, ip 3500, индуционная, настольная, промышленная, профессиональная",промышленная,https://labresta.com.ua/plyta-induktsiina-airhot-ip-3500-nastolnaia/
1316945344,descr_full,Плита индукционная AIRHOT предназначена для профессионального использования. Электронный таймер с обратным отсчетом до 60 минут Регулировка мощности Диаметр посуды от 12 до 26 см. Макс.нагрузка на пов,"Электронный, обратным, посуды, платы, раздельными",https://labresta.com.ua/plyta-induktsiina-airhot-ip-3500-nastolnaia/
1423206708,meta_keys,"pimak, плита газовая, плита на газу, плита на газе, пимак, плита газовая пимак, пімак, плита пімак, газова пліта, газова плита, плита настольная, газ плита настольная, газовый контроллер, мо15 4, pima",газовый,https://labresta.com.ua/plyta-hazova-pimak-70s-m015-4f-z-dukhovkoiu/
1495716546,descr_full,"Плита індукційна AIRHOT IP7000 D призначена для професійного використання. Тепло передається безпосередньо до дна посуду, не нагріваючи конфорку, завдяки чому плита витрачає менше енергії. Електронний",температурных,https://labresta.com.ua/plyta-induktsiina-airhot-ip7000-d/
2094240516,meta_keys,"индукционка, індукційна плита, настольная, индукционная плита, стеклокерамическая плита, промышленная, профессиональная, напольная индукционная плита, плита индукционная skvara, hurakan, hkn icf70d, х",промышленная,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-d35fx4s-pro/
497705126,meta_keys,"плита електрична, emmepi, emmepi 702ean, плита промислова, плита, італія, професійна, конфорки, без духовки, 2, на открытой базе, круглі, квадратні",открытой,https://labresta.com.ua/plyta-elektrychna-emmepi-702ean-italiia/
497705127,meta_keys,"плита електрична, emmepi, emmepi 704ean, плита промислова, плита, італія, професійна, конфорки, без духовки, 4, на открытой базе, круглі, квадратні",открытой,https://labresta.com.ua/plyta-elektrychna-emmepi-704ean-italiia/
497705128,meta_keys,"плита електрична, emmepi, emmepi 704efn, плита промислова, плита, італія, професійна, конфорки, з духовкою, 4, на открытой базе, круглі, квадратні, з духовою шафою",открытой,https://labresta.com.ua/plyta-elektrychna-emmepi-704efn-z-dukhovkoiu-italiia/
497705129,meta_keys,"плита електрична, emmepi, emmepi e702ean, e702ean, e 702ean, плита промислова, плита, італія, професійна, конфорки, без духовки, 2, на открытой базе, квадратні",открытой,https://labresta.com.ua/plyta-elektrychna-emmepi-e702ean-italiia/
